OBJECTID,plz,einwohner,SHAPE_Length,SHAPE_Area
88,93109,2505,51048.9728418265,62234739.1199593
89,21737,3079,46608.8364490644,77324901.3995823
90,38479,1366,21925.9122029623,13914412.6389051
91,21729,1904,36432.0492743021,75533019.6944291
92,24887,2182,89694.8196382195,112594887.326819
93,38477,1872,31936.2884285716,39381449.4495659
94,93152,8833,70494.1940965423,77855484.8750622
95,93170,5531,119362.884215022,185467198.57317
96,24885,1677,46739.7405906817,92617379.7793433
97,38553,1881,18774.5513522078,17771729.182266
98,93182,1582,59666.6087343495,52065169.4522632
99,24882,1694,42908.1341323225,72109139.8933738
100,24881,1358,44424.742653313,55426778.3063517
101,24876,1051,35602.8720955979,52346854.7533687
102,24873,925,40730.1397631545,43125953.6142539
103,24870,810,40621.1696341884,63028635.5182755
104,24869,552,34332.9418020319,49179061.5496342
105,24867,1121,38860.8093100671,49255217.1842339
106,38550,6309,35954.9083654409,50471691.6223443
107,24866,2060,23603.687031178,16763957.9160309
108,48249,46485,128004.276922437,483560095.116578
109,48324,12877,89741.0275654186,253649975.704644
110,48317,15215,106584.551491678,278313222.461847
111,59387,15141,96372.9899408705,277354106.477805
112,59394,9694,65152.0302981197,136139514.085678
113,59368,29659,85110.0832071748,197743889.0992
114,59348,23656,113181.028596677,366565825.32856
115,59399,12101,68737.1692446106,136245668.253236
116,59379,26074,79641.1376022087,156956281.365452
117,45731,28985,69160.1956758515,122025377.731548
118,45739,30941,56003.5259612501,100383389.147604
119,45721,37362,118471.661326704,414287488.640862
120,45711,34509,91209.5602017032,171598841.60991
121,37649,852,34118.6906402276,48935315.2775803
122,32683,9054,72220.2773918174,156837268.160763
123,38474,1530,39587.6399173605,63621833.1464197
124,32791,34903,100240.964333004,200126127.079263
125,38471,4858,52341.7903300043,83688508.8815667
126,32699,11948,99132.8351681496,244620984.298789
127,32694,8229,69065.253412035,131359557.37103
128,32689,14299,103020.515842816,297457618.196911
129,32657,41112,117212.719876156,266058416.190967
130,46348,11178,61857.0623601768,151096288.580799
131,37696,5380,73157.1536677882,168192392.929397
132,38557,1899,21792.9407758342,20759466.9987282
133,37688,13873,105502.459227644,254348392.533444
134,37671,30209,136151.289812059,412632678.108347
135,34439,8450,117825.751054946,332385302.854652
136,34434,9144,124940.337527535,359119007.339818
137,38554,2533,28475.1076105517,21442310.5092656
138,34414,23596,142437.636190305,435197475.076604
139,32825,15791,111801.447163415,260439606.311943
140,32816,8976,91442.2270923098,157472227.660422
141,32676,10240,93644.8545560036,232322691.926542
142,46499,26485,121433.858402855,428591934.867759
143,38547,5073,66728.9637499454,74161317.7952653
144,38531,2257,35128.0956094598,29279311.8028455
145,38524,10848,90334.4958616418,238713411.317827
146,48499,7578,57327.5187320754,142871603.522498
147,48488,9780,99117.2313342722,375777592.736561
148,48493,7833,69220.5741995387,153662890.873081
149,48607,18941,76508.3459546899,281163399.099753
150,48455,15142,89796.5593807518,267036547.679601
151,48599,45509,65700.3638960255,209453445.498719
152,48691,22428,91101.1194350821,358529905.183657
153,48703,20192,71000.5639408521,208521224.86713
154,48683,38426,97784.6320519822,400978700.878195
155,48619,8382,70671.3314525805,183529889.347782
156,38530,1336,22552.4070376571,19893345.9466706
157,48739,6970,58108.7534437916,148166773.919214
158,93047,12726,10007.7104946826,4176099.95190476
159,48629,6409,47302.4616641804,106793205.979251
160,48624,6883,66979.6260077557,181680609.443607
161,48612,6521,57953.4347091164,118396584.691647
162,48366,6495,57668.6402304271,93099092.1759848
163,48565,33455,77162.2154194548,296081761.156226
164,93176,5492,85464.9653001431,169233393.975181
165,93186,3231,44843.0142708204,57077889.3554164
166,93083,7597,65041.0226530116,57507884.9044032
167,93093,3802,36238.3415026831,22518618.975398
168,93101,1546,33759.9732542951,35227908.0720216
169,48356,9403,59865.5672319438,136438224.802212
170,48341,10043,74753.9282944558,166323773.943522
171,48329,11568,59998.9863685766,140146472.802887
172,48720,10592,103480.561339424,249729129.136396
173,48727,11537,97478.4085428539,240381563.531368
174,48653,35880,94649.4555104177,370604558.441358
175,93128,15061,128208.261304038,242768345.376492
176,93164,6477,62193.1769883367,106481434.27318
177,48301,19226,85629.0863076998,224868028.206811
178,48308,20007,122071.973593349,286532354.740956
179,48712,16936,77164.7479092604,212322624.592339
180,48734,14338,72672.5464386563,205838757.488339
181,93179,1924,55761.615752889,70985707.4626752
182,46342,13020,72590.7617079135,185810458.215234
183,46359,8111,59091.3425378856,139346963.227106
184,93105,4845,33387.7795643095,26233286.0282678
185,93142,10538,60443.0300839885,81006154.9882292
186,93343,975,35732.718996049,40028413.3584765
187,93348,879,40341.7643719864,38001829.7921223
188,93359,1318,35558.9876047475,41724847.7236759
189,93333,12677,152509.412191607,319137888.466311
190,93346,4155,40219.5151884412,53291913.8542534
191,46354,8834,68278.52456504,118862928.288357
192,46325,41748,119423.42883752,400989906.445727
193,46414,19149,84871.252864575,206263786.60588
194,32839,13152,114169.611267475,198063756.094535
195,93351,2189,49753.8815017043,85259405.1346958
196,93336,6795,114573.673135236,263963665.744541
197,93349,1621,50167.6901530243,52460343.7384006
198,93354,4657,66684.6611564712,96539545.4296231
199,93342,5283,64097.5386651738,101316860.724771
200,32832,9666,53211.6418101543,110319582.840734
201,32805,17417,122364.397692199,236052371.764771
202,38551,2092,52208.6861501227,66293465.281115
203,93352,3244,86666.19865366,124745700.154951
204,93077,11471,96813.6261494054,129704878.247372
205,93358,1786,31639.7212879908,23139884.9697699
206,93326,12774,82055.0632521821,139016879.555404
207,38543,2524,49514.7960283009,64793035.4608977
208,93339,5449,92384.2842573158,232988366.941904
209,38542,4355,69399.4694001214,75687772.474424
210,38536,8270,85991.8949054252,144911973.755048
211,46514,13382,105932.691473914,287739144.390759
212,46569,13763,96608.8408700351,277045027.233149
213,93345,2035,59052.5946354634,79676288.7590073
214,46562,37269,56189.2648653784,138403054.946462
215,47495,30940,83453.1837065728,194318449.845785
216,93309,15316,177311.748051811,279415241.952595
217,91207,25754,96511.9395242098,163812391.237754
218,91227,6321,64569.4976346402,79737347.0480672
219,91235,3158,95220.6132708772,114302795.335305
220,94158,713,37455.6972023174,33234985.7378267
221,94065,10290,86038.2271110054,183574704.275702
222,94151,2313,107476.142299978,194376585.592159
223,94089,4323,72389.7624972699,136227765.224356
224,94145,1338,86639.6074495833,130627492.673582
225,94146,2540,60473.7925133276,89710781.0566983
226,94118,3369,62784.8178463724,97553420.4194569
227,94133,4478,60412.8430282967,93353429.9089056
228,91238,2733,61705.6049809238,90954097.6126858
229,94424,6190,96902.097382242,183470311.009958
230,94439,2898,66578.2618358797,109778547.976693
231,46519,12806,63535.120380353,154202067.69263
232,46509,21315,83389.9386365429,188048102.552352
233,46419,10932,59184.9412578247,111902547.138377
234,46459,21612,93178.8943721452,286562637.603016
235,94137,1630,44469.8987675488,43962227.5175395
236,94166,1417,56382.3226824497,41068241.1455254
237,94140,1821,50395.6402185155,89426944.6981757
238,24404,640,24543.114772486,28249009.2294983
239,25725,1390,43899.292117806,64219370.9727325
240,24402,805,48698.8613865553,55933577.4705523
241,94252,985,54682.0583308819,110002929.623104
242,94244,5053,75679.2906013788,112198840.186863
243,94269,3088,59150.6863500528,93375362.9951701
244,24401,747,39335.0315484755,38859404.2792409
245,23823,2176,70171.6893012104,141531517.469729
246,25721,780,25719.3282022582,36462982.6917355
247,94258,2698,76764.5236907568,139303346.186467
248,23821,1203,39343.3431246583,56622175.739141
249,23719,916,37471.141807457,54304480.4023526
250,46446,29948,89804.6381237256,210424550.898406
251,94249,3269,53484.5577097669,105406767.337366
252,94234,8057,81329.4812862354,145432782.75008
253,94265,1755,45175.6420013663,39556137.0321317
254,94256,2359,51745.9511776924,97186021.3465769
255,94239,5346,74425.5807979646,98165843.1884817
256,38533,3105,44961.9355113223,51885378.1332145
257,94267,2721,60858.4504856029,93323986.0697801
258,94209,10837,83802.2205670784,150972037.970732
259,94262,2899,73076.9358697227,138293418.906375
260,38528,1771,42966.5742632155,36453321.8906657
261,94253,3194,61485.7059253356,107050362.702489
262,94227,11832,113247.973013734,348654448.731971
263,94264,1905,44680.126577016,79934962.2079051
264,94259,4342,73981.1274907716,113150782.709032
265,38179,6830,47022.2936234475,55905656.8446302
266,25591,746,28812.4298345528,28415388.9441527
267,94255,1650,56031.5857402138,63889234.1867306
268,38268,12741,61012.5443249706,90883109.5412264
269,94250,935,51509.3276534128,69831960.5063456
270,94261,2143,57450.7187041842,70724114.9806619
271,94545,3390,80487.1195531794,100086754.467038
272,94157,2801,58435.8112458064,68306562.6104102
273,94142,900,26286.89671592,23935555.3580579
274,94548,1638,41415.1244008321,50948472.6042127
275,94163,1952,44060.8449317991,64454037.6898629
276,38176,10018,87807.9994435158,160614392.727022
277,94568,1334,58827.7486690869,111853341.937884
278,94572,1287,60422.0534803732,44000429.1007665
279,94579,1137,55539.5261000964,51024312.3953876
280,94518,3937,70120.6644957141,109112357.336403
281,38159,16013,86354.5129868188,203976170.49115
282,25587,1937,21046.9279321815,14293703.8120875
283,25786,783,43637.5421215267,63712392.4701119
284,94551,2728,70736.8055891312,98188014.0110136
285,94469,31552,111713.716692872,178507908.915293
286,94571,1424,40958.5440237944,57927815.0017859
287,25729,851,32960.0349427305,49581075.3260819
288,25585,630,37585.9333170229,78511108.4327964
289,94527,2278,58758.1110311574,67492790.9260644
290,94550,3136,60417.6572251964,92410293.0467876
291,25599,1508,42476.7921488805,50125141.5246246
292,38165,11523,84514.5959144734,192795401.086574
293,38162,12804,75212.6902992196,158451547.447123
294,94447,12225,61772.7100883462,82478116.7313288
295,94557,1805,28789.7444856793,22908537.7315383
296,94491,7104,85767.1597025899,105328942.344766
297,94574,1368,39566.1896352443,47554968.2733194
298,94532,1395,43499.3283805468,55401684.6541218
299,94554,2165,50642.4942144389,74186488.295561
300,94486,11577,133187.24634706,254782443.768494
301,94562,1172,38494.3335962081,39947770.9832961
302,94508,4840,70855.8592201797,91833108.4376423
303,94539,2793,57680.0658531231,107115479.899614
304,94560,3258,48028.9927348704,54871935.3316607
305,94505,4779,66455.1012706329,91167983.0033365
306,25590,661,32155.7597364911,31864143.7556649
307,25575,734,40861.7783562019,40642658.4959922
308,94569,3038,63870.8054969921,102520783.036294
309,94577,3809,67677.0857973959,63374935.8872446
310,25573,868,45188.8600946582,40460208.0632944
311,94034,14349,52477.6512731623,69441570.1311777
312,94130,3729,44155.4877782843,41492945.8800011
313,94086,8364,105171.680258089,159916824.769056
314,94154,2624,57687.7709651948,55880151.594521
315,94127,4212,63878.9833939478,94745197.5917089
316,94542,2559,61000.6416205185,107913312.431422
317,94152,3360,55606.6612046586,70482442.3971294
318,94110,5603,91765.9978676718,184352297.636167
319,38379,1016,37439.7293173207,35079082.6695627
320,94538,3347,48740.0441040376,44418597.6249635
321,94072,6639,69416.0009154612,125680126.141834
322,94107,6147,96514.3826617936,168242016.449427
323,94167,1692,44779.6735850842,65186855.0825241
324,38376,651,37957.5276983672,37787938.0137581
325,25379,1056,38341.677843131,35635671.7102765
326,94575,4764,67369.2087071646,130157985.089285
327,94149,1957,46548.243637772,57789699.6719215
328,94121,6512,43627.7267635646,72980688.4757102
329,94535,4057,47317.245642796,54326091.2980323
330,38372,2704,47010.510206747,48779352.2860696
331,38364,11653,68694.6377932123,125524039.174494
332,25377,1736,60512.0578898101,84283017.3642676
333,25368,2242,25012.9418019937,24696059.1386144
334,94060,14865,81622.6824287895,156308690.504522
335,94104,5419,55575.6945000351,90484775.4739809
336,94529,2410,52287.9659854404,46679125.8704087
337,94051,11700,79142.8508703439,189051341.495195
338,25371,959,31560.6530981565,42667113.9257058
339,94139,2157,63514.2877895939,68416250.2399252
340,94099,6978,89190.1930904135,117066431.740097
341,94161,3060,35639.0509112201,29882238.2164602
342,94136,4063,50916.9917556967,77331370.63659
343,25370,914,31219.79770956,33067422.7714514
344,94474,15913,120788.117108686,197448963.501396
345,94116,5899,55998.2966870199,85557949.6850173
346,94544,3549,46483.7421491647,74925403.9119661
347,94436,3623,91461.2977885,116758553.641611
348,94522,6705,92424.0700152704,163705368.957222
349,94431,6324,80068.8549552751,163205620.249074
350,25365,2835,39767.2652582311,48590470.410345
351,24997,2186,43493.0616779419,84198889.3302488
352,94405,12527,85198.5483147787,193440941.478551
353,94428,6462,106958.526183773,224505580.318494
354,94437,2886,64983.3570424442,94946764.1217597
355,94419,7488,140061.569109818,215087549.154956
356,24999,2290,29294.1322087412,38493795.8902884
357,86513,3269,51496.9292022589,57188807.7085333
358,86483,1180,31345.3280940504,32849525.7233937
359,86473,2941,74355.6738653879,96767056.3581958
360,86470,5941,39874.0169008419,45303357.5048169
361,86476,3079,68499.5935216252,85557157.7555835
362,86479,1164,49039.2075658925,39873209.1855361
363,24966,4372,52045.4982868215,131499579.781827
364,86498,1738,52716.249079967,60107390.1292235
365,86480,1808,56967.2000878353,72457905.158366
366,86488,1228,40346.7206257282,30115443.4308602
367,86491,598,36942.8293539663,25145373.9988581
368,24899,554,35250.5775453698,44092203.6783638
369,86489,1469,34641.1868667997,26340641.6821938
370,94362,1727,53051.4189429126,56713701.3112436
371,94339,4004,103852.820803466,180248912.449555
372,94369,2728,40344.6814657127,33038715.0257782
373,94348,1660,35126.993689551,34480583.2508422
374,94377,2919,54614.5565732804,53791750.4367208
375,94356,3657,67670.9999327736,99140580.4209915
376,94330,5668,109027.364956732,149340210.186234
377,24897,701,41325.4720483475,58637168.6427777
378,22955,3189,30720.4921667768,30383527.2220555
379,24896,1506,48135.9524755379,65104333.7803856
380,94365,3027,44211.7281729002,45075194.7536738
381,94344,3604,89484.7414806631,181640775.198079
382,94372,1467,51203.3031521843,51582837.96159
383,94351,1819,51618.7934054007,52168251.42541
384,94553,1410,36523.3463426546,45167993.1598588
385,94360,2436,43232.270039773,33003074.2787949
386,94336,4269,63138.4550472849,69755541.7108794
387,29599,1015,56138.515459871,70286381.0471918
388,94357,1750,54250.0902869098,62392154.3886548
389,94359,628,30998.9565827148,27964735.0626653
390,94333,6551,108075.986797292,229744921.221586
391,94366,632,45114.3719165321,37165023.3361751
392,94345,1712,44791.5184931004,50146053.3871378
393,94374,2769,69165.6832317494,76854656.0398434
394,94353,2207,57159.6428514703,75074084.5597687
395,94559,2501,53872.9761527665,59241232.0451171
396,86459,4105,69918.9086072031,93341490.8783111
397,86420,9701,68572.0376807581,75418256.7058539
398,86497,2476,63184.7787673738,59908285.3742597
399,86514,1101,29752.0232816169,25061531.0132253
400,29597,660,47183.2361084334,105640647.942129
401,29493,592,39011.9094157258,64305906.2588082
402,29591,802,44982.5778989474,53187162.7067428
403,29590,493,22032.0564419407,23459127.6901492
404,84518,8490,51438.0391685761,58149247.6081477
405,84558,3209,64434.6219987237,91073157.1016423
406,84550,1186,38124.6523007455,40059251.2749183
407,84579,2901,44523.4449882016,52161123.5244381
408,84524,8328,51653.1636870074,82666661.9794921
409,84571,2615,55237.824321809,64185646.2990265
410,29588,1185,52626.358033758,85850659.2586554
411,84503,12449,47779.7936588408,51960233.1458625
412,84553,978,42397.9500528409,49340834.5615503
413,29584,1771,61698.3002356122,110560312.749757
414,86450,3791,63708.9900371373,93413747.1356454
415,86492,2176,45638.1191068725,46829108.2549339
416,86862,1821,62337.066025613,76869735.7692824
417,86863,1683,38231.585589717,28965606.8996579
418,86381,12441,68951.494162136,100564978.919542
419,86399,16363,76766.4370955864,113343045.644346
420,29576,816,45924.1690080429,61803321.6992464
421,29488,836,33806.4829693336,54331644.5694337
422,86391,14427,29517.9385483779,25936441.3037303
423,86477,2166,33774.1759821749,21931544.5178752
424,29571,2116,82521.6533920054,198347473.162689
425,29484,721,54068.674486758,115530633.048728
426,86368,20750,71017.2917912715,76195782.159809
427,86356,21070,43228.2633553484,55019620.4993027
428,29549,8757,73225.6532693102,133450128.274546
429,86482,2895,31499.1457811203,20893854.6660407
